name	id	initial_release_date	directed_by	produced_by	written_by	cinematography	edited_by	music	language	rating	estimated_budget	country	starring	runtime	locations	film_collections	soundtrack	featured_film_locations	genre	film_series	story_by	sequel	prequel	subjects	personal_appearances	dubbing_performances	film_format	costume_design_by	other_crew	trailers	distributors	other_film_companies	production_companies	tagline	release_date_s	netflix_id	film_festivals	nytimes_id	featured_song	metacritic_id	apple_movietrailer_id	rottentomatoes_id	executive_produced_by	film_casting_director	film_production_design_by	film_art_direction_by	film_set_decoration_by	traileraddict_id	gross_revenue	fandango_id	pre_production	filming	post_production	songs
Nana	/m/025dd76	1934	George Fitzmaurice,Dorothy Arzner	Samuel Goldwyn					English Language			United States of America	/m/0hzvzyn,/m/0hzvjnx,/m/025dd73,/m/0hzvt_s	/m/0dm4tkc					Drama									Adrian Adolph Greenberg,Travis Banton			/m/0hzvw6l		United Artists													Richard Day								
Victim	/m/01656z	1961-08	Basil Dearden	Michael Relph	Janet Green,John McCormick	Otto Heller			English Language			United Kingdom	/m/0gc98t7,/m/0gcb57r,/m/0k7r17,/m/0k7r1k,/m/0cg07mx,/m/0gcftk0,/m/0cs7lb9,/m/0k7r1d,/m/0cg6fvj,/m/0cg01xf	/m/0gl8c94,/m/0cg7dlr,/m/0k7r1v					Drama,LGBT,Crime Fiction												/m/0hvt_0q				/m/0jsp2fd,/m/0gl8c8_		2010 London Lesbian and Gay Film Festival																	
Spartacus	/m/0168ls	1960-10-06	Anthony Mann,Stanley Kubrick	Edward Lewis,James C. Katz	Dalton Trumbo	Russell Metty	Irving Lerner,Robert Lawrence	Alex North	English Language	PG-13 (USA)	/m/0k3m6d	United States of America	/m/0bpjjkv,/m/03jrn2p,/m/0k3m51,/m/0ltcx6m,/m/0k3m5v,/m/03jrp6s,/m/0k3m56,/m/0ltcx7s,/m/0k3m5p,/m/0bpjjl7,/m/0k3m5j,/m/0k3m4x,/m/0bpjjk_,/m/03jtgkx,/m/0hhm140	/m/0jmq996,/m/0csgyf2,/m/0gl9rk8,/m/0k3m63		AFI's 100 Years... 100 Movies	Spartacus		Biographical film,Epic,War film,Adventure,Action,Drama,Historical fiction,Romance Film,Costume drama		Howard Fast			Third Servile War,Spartacus				Arlington Valles,William Ware Theiss	/m/0ltpxw_,/m/0ltpxwg,/m/0ltpxy2,/m/0ltpxyw,/m/0ltpxvy,/m/0ltpxxn,/m/0ltpxyn,/m/0ltpxyf,/m/0ltpxwr,/m/0ltpxx6,/m/0ltpxw5,/m/0ltpxxw		/m/059qkt9		Universal Studios		/m/0ltnr2l,/m/0ltnqsc,/m/0ltnr0z,/m/0j59397,/m/0ltnqsp,/m/0ltnqx1,/m/0ltnr5y,/m/0ltnqtw,/m/0ltnr3d,/m/0ltnr1c,/m/0mvd90p,/m/0ltnr4h,/m/0ltnq_b,/m/0ltnqtg,/m/0ltnr1t,/m/0ltnqzf,/m/0ltnqxw,/m/0ltnqxf,/m/0ltnr23,/m/0ltnr2_,/m/0ltnqyn,/m/0ltnqvp,/m/0ltnr5m,/m/0ltnr4x,/m/0ltnq_z,/m/0ltnqw1,/m/0ltnr08,/m/0ltnr57,/m/0ltnqz1,/m/0ltnqwf,/m/0ltnqt2,/m/0ltnqv7,/m/0ltnq_n,/m/0gl9rk3,/m/0ltnqzs,/m/0mt_sps,/m/0ltnr43,/m/0ltnr0m,/m/0ltnr3r,/m/0j572z1,/m/0ltnqy7		2012 London Lesbian and Gay Film Festival,1991 San Francisco International Film Festival,2012 Moscow International Film Festival,2005 Berlin International Film Festival						Kirk Douglas,Edward Muhl		Roger Forse,Alexander Golitzen	Eric Orbom	Russell A. Gausman,Julia Heron							
Harvey	/m/016yhm	1950-10-13	Henry Koster	John Beck	Mary Coyle Chase,Oscar Brodney,Myles Connolly	William H. Daniels		Frank Skinner	English Language			United States of America	/m/0jz6rk,/m/0cg0044,/m/04hvc3s,/m/0jz6rw,/m/0bdn9mx,/m/0cg627m,/m/0jz6rd,/m/0jz6rq	/m/0cs69x_,/m/0glb261,/m/0jz6s5					Black-and-white,Fantasy,Screwball comedy,Comedy									Orry-Kelly			/m/059qjxz		Universal Studios	The Wonderful Pulitzer Prize Play... becomes one of the Great Motion Pictures of our Time!	/m/0glb25x,/m/0j57xk8											Nathan Juran,Bernard Herzbrun	Russell A. Gausman,Julia Heron							
Quills	/m/017180	2000-11-22	Philip Kaufman	Julia Chasman,Nick Wechsler,Peter Kaufman	Doug Wright	Rogier Stoffers	Peter Boyle	Stephen Warbeck	Latin Language,English Language	R (USA)		United Kingdom,Germany,United States of America	/m/0k27kv,/m/03jr_4j,/m/0ccsnyw,/m/0crrg_q,/m/03jrpjb,/m/03jphf9,/m/0ccsnxc,/m/0k27kj,/m/0k27k_,/m/0k27kp	/m/0k27l7					Romantic drama,Period piece,Romance Film,Erotic Drama,Biography,Drama,Biopic [feature],History,Film adaptation		Doug Wright			BDSM				Jacqueline West	/m/0cct3nd,/m/0cct3kt,/m/0cct3nn,/m/0cct3n4,/m/0cct3lz,/m/0cct3m6,/m/0cct3l1,/m/0cct3p0,/m/0cct3nx,/m/0cct3lf,/m/0cct3ky,/m/0cct3ns,/m/0cct3p4,/m/0cct3nj,/m/0cct3m2,/m/0cct3lk		/m/05t5p3_		Fox Searchlight Pictures	There are no bad words... only bad deeds.	/m/0gl7fpw,/m/0j5702r		2001 Berlin International Film Festival						Rudolf G. Wiesmeier,Sandra Schulberg,Des McAnuff	Priscilla John,Donna Isaacson	Martin Childs	Steven Lawrence,Mark Raggett	Jill Quertier							
Pete's Dragon	/m/01_4h2	1977-11-03	Don Chaffey	Ron W. Miller,Jerome Courtland	Malcolm Marmorstein	Frank V. Phillips	Gordon D. Brenner	Irwin Kostal	English Language	G (USA)	/m/0h1713p	United States of America	/m/02vblrn,/m/0h6dlgk,/m/02vd4kn,/m/0j6gtdd,/m/02vc91v,/m/02tb3xy,/m/0h6dlg4,/m/0gw5zt7,/m/0h6dlj_,/m/02tbbjt,/m/0cfzhl7,/m/0h6dlll,/m/0h6dlfk,/m/0kn36m4	/m/0j4n2_g,/m/03lfv3t,/m/0cg20n0,/m/0hh3m5v			Pete's Dragon	Golden Oak Ranch	Children's/Family,Musical,Fantasy Adventure,Adventure,Children's Fantasy,Animation,Family Film,Fantasy		S.S. Field,Seton I. Miller							William Ware Theiss,Bill Thomas			/m/0bmzsyg,/m/07y5fns		Sullivan Bluth Studios,Walt Disney Animation Studios,The Walt Disney Company	Brazzle Dazzle Brilliance!	/m/0j57zdh										John B. Mansbridge	Jack Martin Smith,John B. Mansbridge	Lucien Hafley							
Lost in La Mancha	/m/01_86z	2002-02-11	Keith Fulton,Louis Pepe	Lucy Darwin	Keith Fulton,Louis Pepe	Louis Pepe	Jacob Bricca	Miriam Cutler	Spanish Language,English Language,French Language	R (USA),14A (Canada)		United Kingdom,United States of America		/m/0cg4c4c,/m/0gsy1p2					Documentary						/m/0gm0cl3,/m/0gm0ck0,/m/0cg0tvv,/m/0gyyjyh,/m/0gm0ckp,/m/0gsy1pj,/m/0gm0ckg,/m/0gm0cjt,/m/0gm0ck7,/m/0csf3sf,/m/0gm0ckx,/m/0gm0cl9,/m/0cg10d2,/m/0cg7htc,/m/0cg43vk,/m/0gsy1p8,/m/0gm0cyc		35 mm film		/m/0gm0d0y,/m/0gm0d14						/m/0n4m9dy,/m/0n4m9cc,/m/0n4m8ts,/m/0n4m90x,/m/0n4m93r,/m/0n4m9q0,/m/0n4m966,/m/0n4m98w,/m/0n4m9l7,/m/0n4m8xc,/m/0n4m91j,/m/0n4m9p0,/m/0n4m8x3,/m/0n4m99c,/m/0n4m8k8,/m/0n4m97x,/m/0n4m9hw,/m/0n4m8sx,/m/0n4m9fx,/m/0n4m96s,/m/0n4m9dg,/m/0j56p99,/m/0n4m9g7,/m/0n4m9f7,/m/0n4m8qm,/m/0n4m8nv,/m/0n4m97f,/m/0n4m8wk,/m/0n4m9m6,/m/0n4m95q,/m/0gm0bxr,/m/0n4m9kb		2004 Berlin International Film Festival,2002 Berlin International Film Festival,2002 Karlovy Vary International Film Festival,2012 Hot Docs								Benjamin Fernandez									
The Shop on Main Street	/m/01fd9_	1965	Ján Kadár,Elmar Klos	Jaromír Lukás,M. Broz,Frank Daniel,Karel Feix,Jordan Balurov	Ladislav Grosman,Elmar Klos,Ján Kadár	Vladimír Novotný	Jaromír Janácek,Diana Heringova	Zdeněk Liška	Yiddish Language,Czech Language,German Language,Slovak Language			Czechoslovakia,Czech Republic	/m/0gcgc2j,/m/0b_qxcp,/m/0k6g30,/m/02vbdd3,/m/0k6g2w,/m/0k6g2d,/m/0gc966m,/m/0b_qxc9,/m/0b_qxbw,/m/0b_qxcg,/m/0b_qxc2,/m/0k6g2q	/m/0gtl6_7,/m/0k6g3b					World cinema,Czechoslovak New Wave,War film,Drama		Ladislav Grosman			World War II,Holocaust				Marie Rosenfelderova							/m/0b_qxbl,/m/0gl9933		1965 San Francisco International Film Festival,1996 Karlovy Vary International Film Festival,1965 Cannes Film Festival								Karel Skvor		Frantisek Straka							
Darkman	/m/01hdzl3	1990-08-24	Sam Raimi	Robert Tapert	Ivan Raimi,Chuck Pfarrer,Daniel Goldin,Sam Raimi,Joshua Goldin	Bill Pope	Bud S. Smith,David Stiven	Danny Elfman	English Language	R (USA)	/m/0jwzx6	United States of America	/m/0gcgw9m,/m/0df0d23,/m/0df0d2_,/m/0h60g2m,/m/0cr_2wr,/m/0df0d49,/m/0h60g1s,/m/0df0d4y,/m/0jwzwm,/m/03jrwfr,/m/0jwzwg,/m/0df0d3n,/m/0h60g36,/m/0jwzw9,/m/0jwzw4,/m/0h60g1c	/m/0cg0jq4,/m/0jwzw_					Thriller,Horror,Action/Adventure,Superhero,Crime Fiction,Superhero movie,Science Fiction,Action		Sam Raimi							Grania Preston	/m/0dfydw9,/m/0dfydxp,/m/0dfydz9,/m/0dfydzy,/m/0dfydyp,/m/0dfydz5,/m/0dfydwp,/m/0dfyd_1,/m/0dfydx9,/m/0dfyd_5,/m/0dfydzt,/m/0dfydw5,/m/0dfydxy,/m/0dfydw1,/m/0dfydwk,/m/0dfydz1,/m/0dfydvy,/m/0dfydwy,/m/0dfydy1,/m/0dfydwt,/m/0dfydxf,/m/0dfydwf		/m/059r11s		Universal Studios	In the darkest hour, there is a light that shines on every human being...but ONE!,Who is Darkman?,Now, Crime Has a New Enemy, And Justice Has a New Face!	/m/0jsp5yq,/m/0j58mxz										Randy Ser	Phil Dagort	Julie Kaye Fanton							
Mystery Men	/m/01r6s5	1999-07-22	Danny Boyle,Kinka Usher	Mike Richardson,Lloyd Levin,Lawrence Gordon	Neil Cuthbert	Stephen H. Burum	Conrad Buff	Stephen Warbeck	English Language	PG-13 (USA),PG (USA)	/m/0h17tfb	United States of America	/m/02tbfsl,/m/02hr3jl,/m/09vkks3,/m/02vb2y0,/m/0220wp2,/m/02vbd55,/m/02vb_9n,/m/03jpvrh,/m/02vbfsr,/m/02vchkk,/m/02vbk7y,/m/03jslzf,/m/0ggfq13,/m/03lcpqj,/m/02vb9r2,/m/02vbb5x,/m/02vbfg4,/m/02vc_s2,/m/02vb6jq,/m/02kdpzf	/m/03lcpqc,/m/0cv_szd			Mystery Men		Comedy,Parody,Superhero movie,Fantasy,Action/Adventure,Indie,Action		Bob Burden							Marilyn Vance			/m/059qnjy		Universal Studios	We're not your classic heroes, we're the other guys.,This summer expect the unexpected.,Universal Pictures presents a new league of heroes that step to a different beat.	/m/0j56jvw,/m/0jsn8mt								Robert Engelman	Mindy Marin	Kirk M. Petruccelli	Barry Chusid	Victor J. Zolfo							
